gene_id,RNA-POC-47,RNA-POC-48,RNA-POC-50,RNA-POC-53,RNA-POC-57
STRG.16720,2669,1341,3393,3287,2334
Pocillopora_meandrina_HIv1___RNAseq.g9952.t1,0,0,2,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13563.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g19221.t1,0,9,19,13,0
Pocillopora_meandrina_HIv1___TS.g15954.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g25874.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g916.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g7919.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g7727.t1a,0,0,0,6,0
Pocillopora_meandrina_HIv1___RNAseq.g9504.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g1351.t1,0,714,21,48,0
STRG.19443,2216,4462,3540,4299,3886
STRG.19440,1306,3055,1355,2108,1403
STRG.19441,715,947,916,858,776
STRG.19446,427,600,671,1066,475
STRG.19447,1064,629,1158,962,853
STRG.19444,1287,1144,1026,1689,88
STRG.19445,1305,746,2281,1015,468
STRG.19448,7,0,14,0,0
STRG.19449,18,23,3277,4149,10
Pocillopora_meandrina_HIv1___RNAseq.g9030.t1,0,0,0,0,0
STRG.2507,1572,790,1477,775,585
STRG.9729,2878,3347,5577,4891,3315
STRG.9728,446,347,630,303,192
STRG.9721,1612,3705,3944,4725,774
STRG.9720,255,137,139,147,244
STRG.9723,2197,3910,1015,5587,1761
STRG.9722,419,443,379,549,176
STRG.9725,1107,832,1433,1210,572
STRG.9724,35,59,76,179,83
STRG.9727,1166,1263,1348,1250,1168
STRG.9726,111,193,321,99,54
STRG.19194,7051,2445,9712,4251,2791
STRG.15829,349,280,819,482,131
STRG.19196,809,708,752,487,469
Pocillopora_meandrina_HIv1___RNAseq.g25630.t1,0,0,0,0,16
STRG.19190,33,28,58,57,36
STRG.19191,4398,4117,9044,6011,1019
STRG.19192,374,113,631,308,237
STRG.19193,50,296,171,142,24
STRG.6805,384,342,416,362,187
STRG.15821,568,851,693,804,247
STRG.15822,16,7,10,28,6
STRG.6806,469,161,673,391,115
STRG.15824,120,250,126,152,32
STRG.15825,191,288,214,133,151
STRG.15826,150,202,106,169,68
STRG.6802,55,73,0,0,30
Pocillopora_meandrina_HIv1___RNAseq.g2783.t1,0,0,0,0,0
STRG.17099,500,645,654,624,235
STRG.17098,15,4,55,0,92
Pocillopora_meandrina_HIv1___TS.g12249.t1,0,87,92,178,38
STRG.17096,229,131,45,76,0
STRG.17095,14,130,15,20,8
STRG.17094,1511,202,337,347,354
STRG.17093,120,124,188,125,14
STRG.17092,50,85,110,45,36
STRG.17091,60,165,248,36,0
STRG.17090,3548,2445,5517,3112,1891
Pocillopora_meandrina_HIv1___TS.g18756.t1a,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g22426.t1,0,0,22,0,0
Pocillopora_meandrina_HIv1___TS.g11162.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g16966.t1,0,4,4,9,1
Pocillopora_meandrina_HIv1___RNAseq.g1805.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g8594.t1,0,15,0,50,139
STRG.10377,80,25,112,37,42
STRG.10376,1199,1304,1381,2262,725
STRG.10375,1190,403,3082,790,1542
STRG.10374,2722,1291,4871,2820,2936
STRG.10373,115,257,153,146,39
STRG.10372,181,314,428,274,257
STRG.10371,1976,1807,1854,1774,604
STRG.10370,208,210,413,140,124
STRG.10379,87,276,204,314,41
STRG.10378,26,37,10,36,64
STRG.15666,239,897,530,639,328
STRG.20876,7,61,61,25,46
Pocillopora_meandrina_HIv1___RNAseq.g15818.t1,0,21,21,0,0
STRG.20874,48,20,21,52,7
STRG.20873,1944,1188,2313,1191,1021
STRG.20872,33,39,0,0,27
STRG.20871,1601,1270,2826,1066,308
STRG.20870,359,1194,738,494,422
Pocillopora_meandrina_HIv1___TS.g4784.t1,0,37,6,0,2
STRG.20879,622,861,1256,1011,879
STRG.20878,117,202,80,50,116
STRG.19297,1,1,11,3,13
STRG.9607,6,0,0,0,5
STRG.19295,69,125,0,151,8
STRG.15818,30,0,0,36,0
STRG.3549,1756,3216,1995,1445,551
STRG.3548,374,475,405,459,111
Pocillopora_meandrina_HIv1___TS.g15028.t1,0,0,42,105,0
STRG.3543,1799,2294,2454,1072,875
STRG.19293,87,60,86,197,206
STRG.3541,84,267,224,305,93
STRG.3540,10827,9656,14822,14255,10142
STRG.3547,3946,1717,6509,3441,2306
STRG.3546,327,174,677,38,20
STRG.3545,1794,155,3008,0,0
STRG.9603,8,8,35,13,15
STRG.19291,30,7,128,209,0
STRG.9601,23,0,48,5,98
STRG.15664,25,0,30,89,14
Pocillopora_meandrina_HIv1___RNAseq.g4144.t1,0,0,0,0,7
STRG.293,4696,6518,20433,6739,1559
STRG.292,4714,6022,3630,2983,518
STRG.291,157,199,109,113,12
STRG.290,9,71,180,45,0
STRG.297,89,142,112,81,13
STRG.296,1714,885,1405,1298,330
STRG.295,16453,5437,19685,13102,5289
STRG.294,17,195,122,243,181
STRG.299,217,180,104,233,173
STRG.298,411,1932,750,877,599
STRG.8090,2,2,16,18,2
STRG.8091,664,102,997,1011,81
STRG.7040,31,6,30,4,0
STRG.7041,128,368,9979,142,131
STRG.7046,10590,2957,14833,8274,865
STRG.7047,8811,8241,9587,8112,2433
STRG.8096,2,20,74,35,14
STRG.7045,739,2038,1736,2427,726
STRG.8098,8,39,114,10,91
STRG.8099,16,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g27402.t1,0,12,47,20,33
STRG.7049,5486,1253,6833,2790,281
STRG.10953,72,199,232,89,177
STRG.10952,477,508,583,461,305
STRG.10951,1209,1341,764,1610,851
STRG.10950,359,410,534,489,518
STRG.10957,169,212,198,275,138
STRG.10956,981,1152,2468,1525,1455
STRG.10955,1,2,9,0,10
STRG.10954,3264,1762,3843,2119,850
STRG.10959,486,163,443,353,179
STRG.19298,140,240,10,209,115
STRG.20253,59,24,0,21,47
STRG.20252,3,42,23,27,8
STRG.20251,267,501,158,541,267
STRG.20250,27,0,0,0,0
STRG.20257,2726,4138,5613,3749,1252
STRG.20256,478,615,660,346,229
STRG.20255,60,42,100,125,22
STRG.20254,3016,2447,1126,3840,2566
STRG.20259,373,239,298,173,88
STRG.20258,264,160,387,234,107
STRG.17490,28,15,28,41,57
STRG.11024,9,0,0,0,0
STRG.11025,39,22,11,16,0
STRG.11026,545,0,136,10,1114
Pocillopora_meandrina_HIv1___RNAseq.g14234.t1,0,0,0,0,0
STRG.14012,1457,52,1415,326,272
STRG.11021,2030,3813,2825,3692,2172
STRG.14010,3070,4440,3542,3720,1571
STRG.11023,61,19,19,0,0
STRG.11028,27,0,0,7,0
STRG.11029,5,4,0,0,0
STRG.14018,231,1610,1116,351,390
STRG.14019,169,102,61,73,17
STRG.8546,65,0,11,5,2175
STRG.8547,21,0,0,0,0
STRG.8544,3,0,0,5,0
STRG.8545,36,0,39,164,0
STRG.8542,3,2,9,109,15
STRG.8543,15,23,45,7,44
STRG.8540,215,87,79,138,44
STRG.8541,1083,857,1224,1022,559
Pocillopora_meandrina_HIv1___TS.g28745.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g28704.t1,0,0,0,0,0
STRG.8549,5684,10669,7229,8576,3074
Pocillopora_meandrina_HIv1___RNAseq.g27716.t1,0,0,0,0,0
STRG.2638,122,52,63,218,111
STRG.2639,903,573,137,538,353
STRG.2632,55,0,4,0,0
STRG.2633,1583,825,3165,790,2897
STRG.2630,14,0,0,0,0
STRG.2631,6,0,0,0,0
STRG.2636,199,819,309,776,281
STRG.2637,488,437,285,1114,742
STRG.2634,513,415,664,230,258
STRG.2635,915,1462,1378,1549,1206
Pocillopora_meandrina_HIv1___RNAseq.g9155.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13190.t1,0,12,0,0,0
STRG.10620,58,322,177,127,99
Pocillopora_meandrina_HIv1___RNAseq.g17580.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g11171.t1,0,0,1,0,0
STRG.6394,6923,1911,6988,3546,3206
STRG.6397,78,418,205,486,122
STRG.6396,464,464,569,283,505
STRG.6391,155,283,276,185,108
STRG.6390,1572,1018,1973,1242,1617
STRG.6393,234,269,274,510,140
STRG.6392,37,20,52,59,26
STRG.6399,95,24,97,31,0
STRG.6398,1033,1302,917,1221,574
STRG.1085,2640,1144,5509,1652,562
STRG.17494,27,6,28,0,7
Pocillopora_meandrina_HIv1___RNAseq.g3027.t1,0,0,29,0,0
Pocillopora_meandrina_HIv1___RNAseq.g6830.t1,0,60,0,0,10
Pocillopora_meandrina_HIv1___RNAseq.g21749.t1,0,4,0,0,0
STRG.6029,933,919,1661,1095,797
STRG.6028,23445,16361,30892,33093,15235
STRG.6023,15,0,14,0,1
STRG.6022,140,217,144,129,174
STRG.6021,163,284,269,269,166
STRG.6020,770,305,786,303,432
STRG.6027,2232,1460,3366,2606,352
STRG.6026,5289,2905,10920,4374,1212
STRG.6025,195,231,94,73,386
STRG.6024,233,236,244,244,195
Pocillopora_meandrina_HIv1___TS.g25324.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g14396.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g11173.t1,0,0,0,0,6
Pocillopora_meandrina_HIv1___TS.g18244.t1,0,0,0,0,0
STRG.909,116,250,92,244,93
STRG.908,327,200,167,228,219
STRG.903,30,66,80,41,72
STRG.902,8,2,1450,355,0
STRG.901,143,181,195,177,59
STRG.900,527,787,486,610,249
STRG.907,449,368,597,545,176
Pocillopora_meandrina_HIv1___RNAseq.g21706.t1,0,0,0,29,0
STRG.905,430,359,388,451,126
STRG.904,117,567,329,404,80
Pocillopora_meandrina_HIv1___RNAseq.g27693.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g3385.t1,0,0,15,0,0
Pocillopora_meandrina_HIv1___RNAseq.g12563.t1,0,0,0,100,0
Pocillopora_meandrina_HIv1___RNAseq.g24948.t1,0,5,2,3,0
Pocillopora_meandrina_HIv1___TS.g13546.t1,0,0,0,0,0
STRG.1558,1306,850,2611,1431,1141
STRG.18459,39,0,365,25,0
Pocillopora_meandrina_HIv1___RNAseq.g7860.t1,0,0,0,0,0
STRG.18452,2930,1964,3263,2441,2023
STRG.18453,1466,966,2523,1655,737
STRG.18450,25,383,128,181,65
STRG.18451,4156,3202,3671,3285,3961
STRG.18456,126,0,0,0,58
STRG.18457,157,0,0,0,119
STRG.1554,353,232,637,973,320
STRG.18455,91,0,38,0,0
Pocillopora_meandrina_HIv1___RNAseq.g22050.t1,0,0,0,4,0
Pocillopora_meandrina_HIv1___RNAseq.g5178.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g26486.t1a,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g16724.t1,0,12,8,14,7
Pocillopora_meandrina_HIv1___RNAseq.g9624.t1,0,0,0,31,35
Pocillopora_meandrina_HIv1___RNAseq.g24232.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g22461.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g3378.t1,0,0,18,0,0
STRG.3972,25,77,139,88,56
STRG.17261,227,809,396,315,279
Pocillopora_meandrina_HIv1___TS.g13526.t1,0,0,0,0,0
STRG.17262,3921,2248,5736,2832,1272
Pocillopora_meandrina_HIv1___RNAseq.g10929.t1,0,0,0,37,7
STRG.4227,38,100,90,16,88
STRG.3971,501,141,46,390,320
Pocillopora_meandrina_HIv1___TS.g27867.t1,0,0,0,0,0
STRG.3976,108,175,204,366,157
STRG.17265,3063,2060,5338,2949,1617
STRG.3974,1605,2210,1114,1243,1051
Pocillopora_meandrina_HIv1___RNAseq.g22463.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g24721.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g19471.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g19333.t1,0,0,0,0,0
STRG.3979,55,372,67,57,94
STRG.4469,140,0,141,0,185
STRG.13569,400,663,388,680,714
STRG.13568,1775,1732,2981,2325,714
STRG.13567,517,301,657,236,96
STRG.13566,748,242,584,356,304
STRG.13565,3345,3113,5542,3958,3714
STRG.13564,39,61,47,175,214
Pocillopora_meandrina_HIv1___RNAseq.g28791.t1,0,0,0,0,0
STRG.13562,66,145,111,108,313
Pocillopora_meandrina_HIv1___RNAseq.g11810.t1,0,0,0,0,0
STRG.13560,532,175,222,185,149
Pocillopora_meandrina_HIv1___TS.g22100.t1,0,3,0,2,0
Pocillopora_meandrina_HIv1___RNAseq.g15311.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g3382.t1,0,0,8,0,0
Pocillopora_meandrina_HIv1___TS.g24830.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g14802.t1,0,0,0,35,0
Pocillopora_meandrina_HIv1___RNAseq.g16372.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g15543.t1,0,0,0,0,0
STRG.18660,5,2,23,26,4
STRG.1345,4417,1456,4728,4355,1629
STRG.18662,360,63,170,129,202
STRG.18665,8,98,352,177,11
STRG.18664,14,17,0,0,0
STRG.1341,420,254,304,406,430
STRG.18666,12,72,49,21,16
Pocillopora_meandrina_HIv1___TS.g22690.t1,0,10,18,14,5
Pocillopora_meandrina_HIv1___TS.g15020.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g9921.t2,0,2,1,1,3
Pocillopora_meandrina_HIv1___RNAseq.g18933.t1,0,75,0,48,0
Pocillopora_meandrina_HIv1___RNAseq.g3380.t1,0,0,0,0,0
STRG.10038,2660,1254,7401,1733,1278
STRG.10039,896,576,1690,994,1028
STRG.10034,96,11,129,108,122
STRG.10035,34,7,28,3,0
STRG.10036,6,0,1,2,0
STRG.10037,481,246,549,108,426
STRG.10030,190,36,176,57,93
STRG.10031,20,0,653,461,68
STRG.10032,89,9,130,0,41
STRG.10033,7,0,16,4,0
Pocillopora_meandrina_HIv1___RNAseq.g14714.t1b,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g14714.t1a,0,0,0,5,2
Pocillopora_meandrina_HIv1___RNAseq.g17150.t1,0,0,29,0,0
STRG.17751,676,698,689,308,1685
Pocillopora_meandrina_HIv1___RNAseq.g8395.t1,0,0,1,1,6
Pocillopora_meandrina_HIv1___RNAseq.g16107.t1,0,0,0,0,0
STRG.3648,1467,1145,2648,2535,722
Pocillopora_meandrina_HIv1___TS.g18998.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g28263.t1,0,0,0,0,26
Pocillopora_meandrina_HIv1___RNAseq.g19314.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g9923.t1,0,1,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g7913.t1,0,3,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g20785.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g28261.t1,0,0,0,51,0
Pocillopora_meandrina_HIv1___RNAseq.g15373.t1,0,0,0,0,0
STRG.5012,102,492,375,582,1521
Pocillopora_meandrina_HIv1___TS.g12945.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g21963.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g11179.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g4703.t1,0,9,0,0,0
Pocillopora_meandrina_HIv1___TS.g20464.t1,0,9,0,96,0
Pocillopora_meandrina_HIv1___RNAseq.g15371.t1,0,80,301,78,61
Pocillopora_meandrina_HIv1___RNAseq.g13317.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g22848.t1,0,13,70,0,7
Pocillopora_meandrina_HIv1___RNAseq.g14568.t1,0,0,3,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13157.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g5782.t1,0,0,3,18,21
Pocillopora_meandrina_HIv1___RNAseq.g23169.t1,0,10,0,0,28
Pocillopora_meandrina_HIv1___RNAseq.g18697.t1,0,0,0,0,0
STRG.5628,707,621,595,668,376
STRG.5629,301,128,213,220,135
Pocillopora_meandrina_HIv1___RNAseq.g4854.t1,0,0,0,0,0
STRG.5620,7,45,0,15,0
STRG.5621,4,0,0,11,9
STRG.5622,196,182,374,418,43
STRG.5623,27,70,90,153,61
STRG.5624,2201,5383,3623,6129,1622
STRG.5625,199,284,558,323,59
STRG.5626,72,89,55,74,64
STRG.5627,155,332,434,477,71
Pocillopora_meandrina_HIv1___RNAseq.g9117.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g25087.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g15060.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g649.t1,0,0,0,0,92
Pocillopora_meandrina_HIv1___TS.g26136.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g17725.t1,0,11,0,4,0
Pocillopora_meandrina_HIv1___TS.g15041.t1,0,111,234,46,58
Pocillopora_meandrina_HIv1___RNAseq.g3935.t1,0,0,1,0,0
Pocillopora_meandrina_HIv1___RNAseq.g24940.t1,0,0,0,0,0
STRG.15175,10105,9496,11197,11161,2778
Pocillopora_meandrina_HIv1___RNAseq.g3370.t1,0,0,0,0,11
Pocillopora_meandrina_HIv1___RNAseq.g28169.t1a,0,0,65,86,0
Pocillopora_meandrina_HIv1___RNAseq.g10640.t1,0,0,9,0,0
STRG.15671,4159,8914,14979,19965,2656
Pocillopora_meandrina_HIv1___RNAseq.g16287.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g18876.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g19578.t1,0,10,8,7,0
STRG.8856,56,49,121,48,12
STRG.15672,2789,1561,2228,3049,697
Pocillopora_meandrina_HIv1___RNAseq.g24942.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g26633.t1,0,0,0,0,0
STRG.8850,1454,124,438,725,465
STRG.8851,1010,1069,1057,1274,516
Pocillopora_meandrina_HIv1___RNAseq.g27765.t1,0,143,289,242,47
STRG.15677,110,162,121,165,214
Pocillopora_meandrina_HIv1___RNAseq.g7620.t1,0,55,92,57,44
STRG.15676,5576,4369,5868,17193,5209
Pocillopora_meandrina_HIv1___RNAseq.g22043.t1,0,0,0,0,0
STRG.5996,1254,2228,1058,1993,970
Pocillopora_meandrina_HIv1___RNAseq.g21038.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g19483.t1,0,0,0,0,0
STRG.4281,75,70,122,43,41
STRG.4280,1128,784,1240,900,424
STRG.4283,275,280,352,276,79
STRG.4282,1623,1658,1664,1589,1697
STRG.4285,663,642,827,922,459
STRG.4284,1954,1661,2583,2748,1496
STRG.4287,14,33,84,15,16
STRG.4286,411,368,353,370,378
STRG.4289,87,508,357,388,55
STRG.17848,803,1026,878,1185,443
Pocillopora_meandrina_HIv1___RNAseq.g10642.t1,0,0,0,0,0
STRG.17849,61,107,103,58,51
Pocillopora_meandrina_HIv1___RNAseq.g19817.t1,0,0,0,0,0
STRG.14254,107,480,39,115,20
STRG.14255,39,0,0,0,0
STRG.14256,42,53,154,92,63
STRG.14257,619,200,208,179,181
STRG.14250,3068,2401,4540,3307,4352
STRG.14251,111,71,24,98,94
STRG.14252,56,45,84,102,17
STRG.14253,4996,3364,4957,3368,2476
STRG.14258,95,295,197,284,329
STRG.17846,205,155,301,207,284
Pocillopora_meandrina_HIv1___TS.g9643.t1,0,39,24,61,34
STRG.12903,1586,1058,1138,1539,320
Pocillopora_meandrina_HIv1___RNAseq.g10214.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g22041.t1,0,19,0,15,0
STRG.12906,13041,7067,17109,7393,7213
Pocillopora_meandrina_HIv1___RNAseq.g28371.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g6055.t1,0,0,17,0,0
Pocillopora_meandrina_HIv1___RNAseq.g8756.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g16855.t1,0,0,0,0,0
STRG.16090,494,520,803,503,362
STRG.16091,265,243,265,306,120
STRG.16092,5381,3028,4641,3747,1881
STRG.16093,238,393,314,128,155
STRG.16094,6,10,10,7,1
STRG.16095,7,26,0,35,0
STRG.16096,160,280,103,458,142
STRG.16097,2200,1096,2154,2109,1091
STRG.16098,302,100,27,4,2
STRG.16099,5377,9007,7397,9315,3947
STRG.12960,55,97,74,58,46
STRG.12961,3061,1209,4433,2355,801
STRG.12962,1836,1667,1658,1312,2223
STRG.12963,3476,5665,5927,6131,1803
STRG.12964,63,18,235,254,0
STRG.12965,3073,3801,3942,4966,2380
STRG.12966,1120,819,2093,676,155
STRG.12967,286,159,332,202,69
Pocillopora_meandrina_HIv1___RNAseq.g26717.t1,0,0,123,9,0
STRG.12969,2908,2515,3330,2719,1224
Pocillopora_meandrina_HIv1___TS.g3611.t1,0,24,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g26557.t1,0,0,0,0,36
Pocillopora_meandrina_HIv1___RNAseq.g24923.t1,0,0,0,0,0
STRG.8708,10,0,0,13,9
STRG.8709,7,4,1,29,3
STRG.8700,1098,2667,4137,2895,1517
STRG.8701,649,495,1103,564,463
STRG.8702,1,34,23,45,5
STRG.8703,91,41,97,45,33
STRG.8704,435,515,610,517,362
STRG.8705,21,0,8,0,0
STRG.8706,6353,6068,450,229,12438
STRG.8707,2,25,39,5,0
STRG.6629,345,1360,865,762,485
STRG.6628,471,314,1016,525,152
Pocillopora_meandrina_HIv1___RNAseq.g26715.t1,0,0,0,0,0
STRG.6625,33,44,0,34,0
STRG.6624,503,126,498,248,62
Pocillopora_meandrina_HIv1___TS.g29380.t1,0,0,0,0,0
STRG.6626,177,438,411,460,534
STRG.6621,302,1282,482,880,1353
STRG.6620,92,186,126,281,26
STRG.6623,143,67,165,115,65
STRG.6622,1179,1715,984,1687,1036
Pocillopora_meandrina_HIv1___TS.g22673.t1,0,0,0,34,7
STRG.2539,9,121,127,72,23
STRG.2538,28,39,36,15,18
STRG.2535,409,556,471,1170,576
STRG.2534,1042,692,1085,709,575
STRG.2537,25,31,17,55,138
STRG.2536,188,163,148,162,144
STRG.2531,1384,604,1996,687,297
STRG.2530,38,43,48,133,155
Pocillopora_meandrina_HIv1___TS.g3589.t1,0,0,0,0,0
STRG.2532,94,15,116,107,0
Pocillopora_meandrina_HIv1___TS.g14444.t1,0,0,0,0,15
STRG.9909,31,178,15,71,10
Pocillopora_meandrina_HIv1___TS.g18064.t1,0,0,0,0,0
STRG.15619,131,561,298,505,80
STRG.15618,281,733,549,918,148
STRG.15617,106,349,483,343,154
STRG.15616,13,24,0,5,0
STRG.15615,5560,4577,6083,3586,4480
STRG.15614,2902,1861,4234,3808,1168
STRG.15613,20546,25104,30193,27739,17068
STRG.15612,784,1412,1327,1363,635
STRG.15611,900,1595,909,1472,475
STRG.15610,312,833,465,541,192
STRG.12348,198,389,335,323,157
STRG.12349,216,59,126,96,99
Pocillopora_meandrina_HIv1___RNAseq.g2867.t1,0,0,19,14,0
STRG.12344,282,141,285,204,109
STRG.12345,10183,8735,8826,11249,6210
STRG.12346,629,258,757,682,58
STRG.12347,467,464,857,788,338
STRG.12340,5036,6994,6705,7260,3206
STRG.12341,1516,409,1976,1126,814
STRG.12342,29,0,0,26,0
STRG.12343,237,197,341,260,103
STRG.2283,512,971,846,1168,413
STRG.2282,1014,786,1233,1932,581
STRG.2281,59,0,87,144,15
STRG.2280,123,244,90,168,108
STRG.2287,285,170,466,163,146
Pocillopora_meandrina_HIv1___TS.g28517.t1,0,0,0,0,0
STRG.2285,209,279,172,301,22
STRG.2284,733,1058,680,788,603
STRG.2289,2652,1985,3761,1029,452
STRG.2288,204,287,331,380,133
Pocillopora_meandrina_HIv1___TS.g14486.t1a,0,20,6,77,0
STRG.7911,47,0,93,51,105
Pocillopora_meandrina_HIv1___RNAseq.g22754.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g8945.t1,0,19,13,0,0
Pocillopora_meandrina_HIv1___RNAseq.g14177.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g24602.t1,0,0,0,0,1
STRG.18698,407,214,271,203,182
STRG.18699,774,1540,532,1224,457
Pocillopora_meandrina_HIv1___TS.g28750.t1,0,0,0,0,0
STRG.1398,3250,9001,3872,8423,4527
STRG.1399,347,203,147,214,100
STRG.18690,4,74,37,0,22
STRG.18691,8,2,0,0,4
STRG.1396,70,127,171,91,118
STRG.18693,839,728,929,912,267
STRG.18694,296,4601,1330,9555,2135
STRG.18695,149,291,35,300,266
STRG.1392,2157,764,1959,1464,665
STRG.18697,812,1209,842,1246,384
Pocillopora_meandrina_HIv1___TS.g21984.t1,0,0,6,0,0
Pocillopora_meandrina_HIv1___RNAseq.g4588.t1,0,10,5,28,4
Pocillopora_meandrina_HIv1___RNAseq.g23051.t1,0,0,0,0,0
STRG.828,8,12,18,9,0
STRG.829,12,0,0,0,6
STRG.824,508,584,316,739,867
STRG.825,106,103,26,22,0
STRG.826,15,6,11,55,3
STRG.827,11,0,0,0,0
STRG.820,671,362,1416,407,838
STRG.821,423,701,573,397,225
STRG.822,40,0,0,14,8
STRG.823,170,109,136,100,79
Pocillopora_meandrina_HIv1___TS.g24878.t1,0,48,25,21,30
Pocillopora_meandrina_HIv1___RNAseq.g27088.t1,0,0,0,0,1
Pocillopora_meandrina_HIv1___RNAseq.g17565.t1,0,0,0,0,0
STRG.19877,87,144,147,78,58
STRG.19876,413,385,682,581,264
STRG.19875,116,5,126,112,63
STRG.19874,0,20,9,14,5
STRG.19873,101,13,145,87,70
STRG.19872,1416,3309,1607,2735,1575
STRG.19871,212,207,111,263,185
STRG.19870,3,0,4,3,0
Pocillopora_meandrina_HIv1___RNAseq.g27327.t1,0,15,0,7,0
STRG.19879,21,9,97,97,74
STRG.19878,1094,630,2314,1408,595
Pocillopora_meandrina_HIv1___RNAseq.g14339.t1,0,78,60,47,39
Pocillopora_meandrina_HIv1___RNAseq.g25659.t1,0,0,0,9,0
Pocillopora_meandrina_HIv1___RNAseq.g27311.t1,0,45,0,0,0
STRG.13769,1835,1318,1465,1799,943
STRG.13768,408,576,576,564,508
Pocillopora_meandrina_HIv1___RNAseq.g12570.t1,0,37,48,127,0
STRG.13764,466,537,648,176,207
STRG.13767,1709,1876,2156,1354,1056
STRG.13766,142,248,144,193,149
STRG.13761,246,183,245,107,199
STRG.13760,394,415,199,249,79
STRG.13763,1144,1932,1087,1636,1077
STRG.13762,168,241,871,225,155
Pocillopora_meandrina_HIv1___RNAseq.g17733.t1,0,49,45,0,12
Pocillopora_meandrina_HIv1___TS.g11299.t1,0,0,0,0,0
STRG.20932,80,70,229,108,22
STRG.20933,36,35,68,37,0
STRG.20930,608,245,780,424,189
Pocillopora_meandrina_HIv1___RNAseq.g10906.t1,0,0,0,0,0
STRG.20936,1,11,27,29,0
STRG.20937,11,1,14,20,2
STRG.20934,7011,2790,8382,7749,1215
STRG.20935,550,2711,487,2729,1078
Pocillopora_meandrina_HIv1___TS.g29104.t1,0,0,0,0,0
STRG.20938,61,29,30,54,110
STRG.20939,47,46,0,28,151
STRG.11727,1729,1702,2267,2926,935
Pocillopora_meandrina_HIv1___RNAseq.g17567.t1,0,0,0,0,0
