accession,protein_name,gene_name,std_gene_name,species
A7SME2,"Enhancer of mRNA-decapping protein 3",NEMVEDRAFT_v1g172115,EDC3,"Nematostella vectensis"
T2M860,"Enhancer of mRNA-decapping protein 3",EDC3,EDC3,"Hydra vulgaris"
A0A2B4RUA0,"Enhancer of mRNA-decapping protein 4",edc4,EDC4,"Stylophora pistillata"
A0A6P8H813,"Enhancer of mRNA-decapping protein 4-like isoform X1",LOC116289775,EDC4,"Actinia tenebrosa"
A0A6P8H818,"Enhancer of mRNA-decapping protein 4-like isoform X2",LOC116289775,EDC4,"Actinia tenebrosa"
A0A6S7GPJ7,"Enhancer of mRNA-decapping 4-like, partial",PACLA_8A023564,EDC4,"Paramuricea clavata"
A0ABM4DK98,"Enhancer of mRNA-decapping protein 4 isoform X2",LOC100206712,EDC4,"Hydra vulgaris"
A0ABM4DPX5,"Enhancer of mRNA-decapping protein 3",LOC100202201,EDC3,"Hydra vulgaris"
T2MBE8,"Enhancer of mRNA-decapping protein 4",EDC4,EDC4,"Hydra vulgaris"
A0A7M5WQI7,"Enhancer of mRNA-decapping protein 4 WD40 repeat region domain-containing protein",EDC4 OS=Clytia hemisphaerica OX=252671,EDC4,"Clytia hemisphaerica"
A0A913YNN4,"Enhancer of mRNA-decapping protein 4",EDC4 OS=Exaiptasia diaphana OX=2652724,EDC4,"Exaiptasia diaphana"
A0A9W9ZNU7,"Enhancer of mRNA decapping 4",EDC4,EDC4,"Desmophyllum pertusum"
A0AAD9UYL2,"Enhancer of mRNA-decapping protein 4",P5673_023711,EDC4,"Acropora cervicornis"
A0AAU9VZL5,"Enhancer of mRNA-decapping protein 4",PMEA_00028537,EDC4,"Pocillopora meandrina"
A0ABN8RVR2,"Enhancer of mRNA-decapping protein 4",PLOB_00028650,EDC4,"Porites lobata"
A0ABN8S704,"Enhancer of mRNA-decapping protein 4",PEVE_00017724,EDC4,"Porites evermanni"
A0A2B4RUA0,"Enhancer of mRNA-decapping protein 4",edc4,EDC4,"Stylophora pistillata"
A0A6P8H813,"Enhancer of mRNA-decapping protein 4-like isoform X1",LOC116289775,EDC4,"Actinia tenebrosa"
A0A6P8H818,"Enhancer of mRNA-decapping protein 4-like isoform X2",LOC116289775,EDC4,"Actinia tenebrosa"
A0A6S7GPJ7,"Enhancer of mRNA-decapping 4-like, partial",PACLA_8A023564,EDC4,"Paramuricea clavata"
A0ABM4DK98,"Enhancer of mRNA-decapping protein 4 isoform X2",LOC100206712,EDC4,"Hydra vulgaris"
T2MBE8,"Enhancer of mRNA-decapping protein 4",EDC4,EDC4,"Hydra vulgaris"
A0A3M6TND6,"Polycomb protein EED",pdam_00020892,EED,"Pocillopora damicornis"
A0A7M6DQP6,"Polycomb protein EED",EED OS=Clytia hemisphaerica OX=252671,EED,"Clytia hemisphaerica"
A0A2B4T083,"Polycomb protein eed-A",eed-a,EED,"Stylophora pistillata"
A0A6P8H1B1,"Polycomb protein EED-like",LOC116286987,EED,"Actinia tenebrosa"
A0A913XDB0,"Polycomb protein EED",EED OS=Exaiptasia diaphana OX=2652724,EED,"Exaiptasia diaphana"
A0AAD9QB72,"Polycomb protein eed",P5673_019672,EED,"Acropora cervicornis"
A0ABM4BLL0,"Polycomb protein eed-A isoform X3",LOC100208672,EED,"Hydra vulgaris"
A0ABM4BLL2,"Polycomb protein eed-A isoform X2",LOC100208672,EED,"Hydra vulgaris"
A0ABN8RBZ3,"Polycomb protein EED",PEVE_00010916,EED,"Porites evermanni"
Q69DT2,"Embryonic ectoderm development",LOC100208672,EED,"Hydra vulgaris"
T2MI39,"Polycomb protein EED",EED,EED,"Hydra vulgaris"
A0A6P8HN45,"Exportin-5-like",LOC116291099,XPO5,"Actinia tenebrosa"
A0AAD9V5E8,"Exportin-5",P5673_015327,XPO5,"Acropora cervicornis"
A0ABN8PT06,"Exportin 5",PLOB_00047317,XPO5,"Porites lobata"
T2MD94,"[histone H3]-lysine(27) N-trimethyltransferase",EZH2,EZH2,"Hydra vulgaris"
U3MIH3,"GW182/TNRC6-like protein",TNRC6 OS=Nematostella vectensis OX=45351,TNRC6,"Nematostella vectensis"
U3MIH3,"GW182/TNRC6-like protein",TNRC6 OS=Nematostella vectensis OX=45351,TNRC6,"Nematostella vectensis"
A0A3M6TCC1,"Histone deacetylase",pdam_00017517,HDAC,"Pocillopora damicornis"
A0A6P8H4F9,"Histone deacetylase",LOC116288571,HDAC,"Actinia tenebrosa"
A0A6P8H7E5,"Histone deacetylase",LOC116288571,HDAC,"Actinia tenebrosa"
A0A6P8I495,"Histone deacetylase",LOC116295809,HDAC,"Actinia tenebrosa"
A0A913XZK0,"Histone deacetylase",HDAC OS=Exaiptasia diaphana OX=2652724,HDAC,"Exaiptasia diaphana"
A0A913YBR8,"Histone deacetylase",HDAC OS=Exaiptasia diaphana OX=2652724,HDAC,"Exaiptasia diaphana"
A0AAU9VQL9,"Histone deacetylase",PMEA_00017417,HDAC,"Pocillopora meandrina"
A0AAU9WSZ1,"Histone deacetylase",PMEA_00011307,HDAC,"Pocillopora meandrina"
A7SUP8,"Histone deacetylase",NEMVEDRAFT_v1g247517,HDAC,"Nematostella vectensis"
A0A1P8KZZ1,"histone deacetylase",Hdac2,HDAC2,"Hydractinia echinata"
A0A1P8KZZ3,"Histone deacetylase",Hdac3,HDAC3,"Hydractinia echinata"
A0A2B4SH89,"histone deacetylase",HDAC1,HDAC1,"Stylophora pistillata"
A0A2B4SUT8,"Histone deacetylase",hdac3,HDAC3,"Stylophora pistillata"
A0A3M6UEF8,"histone deacetylase",pdam_00003714,HDAC,"Pocillopora damicornis"
A0A6P8HC63,"Histone deacetylase",LOC116291036,HDAC,"Actinia tenebrosa"
A0A6P8HG31,"histone deacetylase",LOC116288839,HDAC,"Actinia tenebrosa"
A0A6P8HTQ8,"Histone deacetylase 3",LOC116295200,HDAC3,"Actinia tenebrosa"
A0A6S7G8G8,"histone deacetylase",PACLA_8A079896,HDAC,"Paramuricea clavata"
A0A6S7IAP1,"histone deacetylase",PACLA_8A071132,HDAC,"Paramuricea clavata"
A0A7M5VA08,"histone deacetylase",HDAC OS=Clytia hemisphaerica OX=252671,HDAC,"Clytia hemisphaerica"
A0A7M5WWG2,"Histone deacetylase",HDAC OS=Clytia hemisphaerica OX=252671,HDAC,"Clytia hemisphaerica"
A0A7M5WWX1,"histone deacetylase",HDAC OS=Clytia hemisphaerica OX=252671,HDAC,"Clytia hemisphaerica"
A0A913X9C4,"histone deacetylase",HDAC OS=Exaiptasia diaphana OX=2652724,HDAC,"Exaiptasia diaphana"
A0A913XE38,"Histone deacetylase",HDAC OS=Exaiptasia diaphana OX=2652724,HDAC,"Exaiptasia diaphana"
A0A913XPM0,"Histone deacetylase",HDAC OS=Exaiptasia diaphana OX=2652724,HDAC,"Exaiptasia diaphana"
A0A9X0CEI1,"histone deacetylase",HDAC2,HDAC2,"Desmophyllum pertusum"
A0AAD9QH29,"histone deacetylase",P5673_015674,HDAC,"Acropora cervicornis"
A0AAD9QY34,"Histone deacetylase",P5673_005401,HDAC,"Acropora cervicornis"
A0AAU9XMR4,"histone deacetylase",PMEA_00025341,HDAC,"Pocillopora meandrina"
A0AAU9XT39,"Histone deacetylase",PMEA_00029708,HDAC,"Pocillopora meandrina"
A0ABM4C432,"Histone deacetylase",LOC100213777,HDAC,"Hydra vulgaris"
A0ABM4D6B6,"Histone deacetylase",LOC100199910,HDAC,"Hydra vulgaris"
A0ABM4DES7,"Histone deacetylase",LOC100200676,HDAC,"Hydra vulgaris"
A0ABN8LT24,"Histone deacetylase",PEVE_00003957,HDAC,"Porites evermanni"
A0ABN8MRB7,"Histone deacetylase",PEVE_00037296,HDAC,"Porites evermanni"
A0ABN8RKN7,"Histone deacetylase",PLOB_00020977,HDAC,"Porites lobata"
A7SB64,"Histone deacetylase",NEMVEDRAFT_v1g111922,HDAC,"Nematostella vectensis"
A7SKN6,"histone deacetylase",NEMVEDRAFT_v1g190860,HDAC,"Nematostella vectensis"
T2M8M1,"histone deacetylase",HDAC2,HDAC2,"Hydra vulgaris"
T2MIU4,"Histone deacetylase",HDAC3,HDAC3,"Hydra vulgaris"
A0ABM4CTQ5,"histone deacetylase",LOC100214986,HDAC,"Hydra vulgaris"
A0ABM4CY83,"histone deacetylase",LOC100215123,HDAC,"Hydra vulgaris"
A0ABM4CY87,"histone deacetylase",LOC100215123,HDAC,"Hydra vulgaris"
A0ABM4CY92,"histone deacetylase",LOC100215123,HDAC,"Hydra vulgaris"
A0ABM4D6C3,"histone deacetylase",LOC100199910,HDAC,"Hydra vulgaris"
A0ABM4DES8,"Histone deacetylase",LOC100200676,HDAC,"Hydra vulgaris"
A0ABN8NHY8,"histone deacetylase",PLOB_00017705,HDAC,"Porites lobata"
T2MER6,"Heterogeneous nuclear ribonucleoprotein K",HNRNPK,HNRNPK,"Hydra vulgaris"
U3MH39,"HYL1-like a protein",HYL1 OS=Nematostella vectensis OX=45351,HYL1,"Nematostella vectensis"
A0A6P8HH67,"Exosome RNA helicase MTR4",LOC116289174,MTREX,"Actinia tenebrosa"
A0A7M5V3C9,"Exosome RNA helicase MTR4",MTREX OS=Clytia hemisphaerica OX=252671,MTREX,"Clytia hemisphaerica"
A0AAD9PVY0,"Exosome RNA helicase MTR4",P5673_029372,MTREX,"Acropora cervicornis"
A0AAU9WK47,"Exosome RNA helicase MTR4",PMEA_00006451,MTREX,"Pocillopora meandrina"
A7RX65,"Exosome RNA helicase MTR4",NEMVEDRAFT_v1g234599,MTREX,"Nematostella vectensis"
A0A3M6U9U0,"Polyadenylate-binding protein",pdam_00018319,PABPC1,"Pocillopora damicornis"
A0A6P8H2S9,"Polyadenylate-binding protein",LOC116287372,PABPC1,"Actinia tenebrosa"
A0A6S7GHA5,"Polyadenylate-binding protein",PACLA_8A028635,PABPC1,"Paramuricea clavata"
A0A6S7GI61,"Polyadenylate-binding protein",PACLA_8A013212,PABPC1,"Paramuricea clavata"
A0A7M5WMY6,"Polyadenylate-binding protein",PABPC1 OS=Clytia hemisphaerica OX=252671,PABPC1,"Clytia hemisphaerica"
A0A913XXZ3,"Polyadenylate-binding protein",PABPC1 OS=Exaiptasia diaphana OX=2652724,PABPC1,"Exaiptasia diaphana"
A0AAD9V3J1,"Polyadenylate-binding protein",P5673_017499,PABPC1,"Acropora cervicornis"
A0AAU9XCX9,"Polyadenylate-binding protein",PMEA_00020655,PABPC1,"Pocillopora meandrina"
A7SSV8,"Polyadenylate-binding protein",NEMVEDRAFT_v1g230864,PABPC1,"Nematostella vectensis"
T2MGJ0,"Polyadenylate-binding protein",PABPC1,PABPC1,"Hydra vulgaris"
A0AAD9QES5,"Polyadenylate-binding protein",P5673_017503,PABPC1,"Acropora cervicornis"
A0AAD9QFC8,"Polyadenylate-binding protein",P5673_017502,PABPC1,"Acropora cervicornis"
A0ABN8MB85,"Polyadenylate-binding protein",PEVE_00029921,PABPC1,"Porites evermanni"
A0ABN8QLE7,"Polyadenylate-binding protein",PLOB_00007626,PABPC1,"Porites lobata"
A0A2B4RYW2,"PAN2-PAN3 deadenylation complex subunit PAN3",pan3,PAN3,"Stylophora pistillata"
A0A2B4SP99,"PAN2-PAN3 deadenylation complex catalytic subunit PAN2",PAN2,PAN2,"Stylophora pistillata"
A0A3M6U2E5,"PAN2-PAN3 deadenylation complex catalytic subunit PAN2",PAN2,PAN2,"Pocillopora damicornis"
A0A3M6UPW7,"PAN2-PAN3 deadenylation complex subunit PAN3",PAN3,PAN3,"Pocillopora damicornis"
A0A6P8HD12,"PAN2-PAN3 deadenylation complex subunit PAN3",LOC116290611,PAN3,"Actinia tenebrosa"
A0A6P8I525,"PAN2-PAN3 deadenylation complex catalytic subunit PAN2",LOC116298623,PAN2,"Actinia tenebrosa"
A0A913XWF5,"PAN2-PAN3 deadenylation complex subunit PAN3",PAN3,PAN3,"Exaiptasia diaphana"
A0AAD9R4E1,"PAN2-PAN3 deadenylation complex catalytic subunit PAN2",PAN2,PAN2,"Acropora cervicornis"
A0AAU9XB94,"PAN2-PAN3 deadenylation complex catalytic subunit PAN2",PAN2,PAN2,"Pocillopora meandrina"
A0A6P8HLM1,"PAN2-PAN3 deadenylation complex subunit PAN3",LOC116290611,PAN3,"Actinia tenebrosa"
A0A7M5V787,"PAN2-PAN3 deadenylation complex subunit PAN3",PAN3,PAN3,"Clytia hemisphaerica"
A0A7M6DRJ3,"PAN2-PAN3 deadenylation complex subunit PAN3",PAN3,PAN3,"Clytia hemisphaerica"
A0AAU9W1L8,"PAN2-PAN3 deadenylation complex subunit PAN3",PAN3,PAN3,"Pocillopora meandrina"
A0ABM4BGL0,"PAN2-PAN3 deadenylation complex catalytic subunit PAN2",LOC100197638,PAN2,"Hydra vulgaris"
A0ABM4D2W2,"PAN2-PAN3 deadenylation complex subunit PAN3",LOC100204958,PAN3,"Hydra vulgaris"
A0ABN8M7Q8,"PAN2-PAN3 deadenylation complex catalytic subunit PAN2",PAN2,PAN2,"Porites evermanni"
A0ABN8NP08,"PAN2-PAN3 deadenylation complex subunit PAN3",PAN3,PAN3,"Porites lobata"
A0ABN8RSZ8,"PAN2-PAN3 deadenylation complex catalytic subunit PAN2",PAN2,PAN2,"Porites lobata"
A0ABN8SUZ2,"PAN2-PAN3 deadenylation complex subunit PAN3",PAN3,PAN3,"Porites evermanni"
A7SCD7,"PAN2-PAN3 deadenylation complex subunit PAN3",PAN3,PAN3,"Nematostella vectensis"
T2MCQ9,"PAN2-PAN3 deadenylation complex subunit PAN3",PAN3,PAN3,"Hydra vulgaris"
A0A2B4RTD2,"polynucleotide adenylyltransferase",PAPD5,PAPD5,"Stylophora pistillata"
A0A9W9ZQL1,"polynucleotide adenylyltransferase",PAPD5,PAPD5,"Desmophyllum pertusum"
T2M9S9,"polynucleotide adenylyltransferase",PAPD5,PAPD5,"Hydra vulgaris"
A0A2B4RXG8,"Poly(A)-specific ribonuclease PARN",PARN,PARN,"Stylophora pistillata"
A0A3M6TI40,"Poly(A)-specific ribonuclease PARN",pdam_00011591,PARN,"Pocillopora damicornis"
A0A9W9YNB5,"Poly(A)-specific ribonuclease PARN",OS493_029854,PARN,"Desmophyllum pertusum"
A0AAD9Q0W3,"Poly(A)-specific ribonuclease PARN",P5673_026320,PARN,"Acropora cervicornis"
A0AAU9X039,"Poly(A)-specific ribonuclease PARN",PMEA_00014470,PARN,"Pocillopora meandrina"
A0A6P8H2T4,"Poly(A)-specific ribonuclease PARN-like",LOC116288105,PARN,"Actinia tenebrosa"
A0A7D9JIL0,"Poly(A)-specific ribonuclease PARN-like",PACLA_8A063003,PARN,"Paramuricea clavata"
A0A7D9JTI4,"Poly(A)-specific ribonuclease PARN",PACLA_8A044474,PARN,"Paramuricea clavata"
A0A7M5V2D9,"Poly(A)-specific ribonuclease PARN",PARN OS=Clytia hemisphaerica OX=252671,PARN,"Clytia hemisphaerica"
A0ABN8NZW9,"Poly(A)-specific ribonuclease PARN",PLOB_00033694,PARN,"Porites lobata"
A0ABN8QUG4,"Poly(A)-specific ribonuclease PARN",PEVE_00007312,PARN,"Porites evermanni"
T2MHQ0,"Poly(A)-specific ribonuclease PARN",PARN,PARN,"Hydra vulgaris"
A0ABM4BD57,"Poly(A)-specific ribonuclease PARN",LOC100200659,PARN,"Hydra vulgaris"
A0A2B4SMA7,"Phosphorylated adapter RNA export protein",PHAX,PHAX,"Stylophora pistillata"
A0A3M6UFP9,"Phosphorylated adapter RNA export protein",pdam_00021771,PHAX,"Pocillopora damicornis"
A0A6P8HK33,"Phosphorylated adapter RNA export protein",LOC116290186,PHAX,"Actinia tenebrosa"
A0A7D9EF16,"Phosphorylated adapter RNA export protein",PACLA_8A019277,PHAX,"Paramuricea clavata"
A0A7M5U7M1,"Phosphorylated adapter RNA export protein",PHAX OS=Clytia hemisphaerica OX=252671,PHAX,"Clytia hemisphaerica"
A0A913XXU5,"Phosphorylated adapter RNA export protein",PHAX OS=Exaiptasia diaphana OX=2652724,PHAX,"Exaiptasia diaphana"
A0A9X0A2B7,"Phosphorylated adapter RNA export protein",OS493_013539,PHAX,"Desmophyllum pertusum"
A0AAD9V9K1,"Phosphorylated adapter RNA export protein",P5673_009805,PHAX,"Acropora cervicornis"
A0AAU9VPS6,"Phosphorylated adapter RNA export protein",PMEA_00000120,PHAX,"Pocillopora meandrina"
A7ST76,"Phosphorylated adapter RNA export protein",NEMVEDRAFT_v1g247256,PHAX,"Nematostella vectensis"
A0ABM4CC41,"Phosphorylated adapter RNA export protein",LOC136071648,PHAX,"Hydra vulgaris"
A0ABN8LH44,"Phosphorylated adapter RNA export protein",PEVE_00004734,PHAX,"Porites evermanni"
A0ABN8N8S2,"Phosphorylated adapter RNA export protein",PLOB_00006469,PHAX,"Porites lobata"
A0A2B4RZR3,"Double-strand-break repair protein rad21-like",rad21,RAD21,"Stylophora pistillata"
A0A3M6UAH0,"Rad21/Rec8-like protein N-terminal domain-containing protein",pdam_00017150,RAD21,"Pocillopora damicornis"
A0A6C0WWI0,"Putative double-strand-break repair protein rad21",Rad21,RAD21,"Actinia equina"
A0A6P8IIB6,"Double-strand-break repair protein rad21 homolog",LOC116301533,RAD21,"Actinia tenebrosa"
A0A7D9DY23,"Double-strand-break repair rad21 homolog",PACLA_8A005820,RAD21,"Paramuricea clavata"
A0A913X8D1,"Double-strand-break repair protein rad21 homolog",RAD21 OS=Exaiptasia diaphana OX=2652724,RAD21,"Exaiptasia diaphana"
A0AAU9XWT2,"Double-strand-break repair protein rad21",PMEA_00032273,RAD21,"Pocillopora meandrina"
A7SCY1,"Double-strand-break repair protein rad21 homolog",NEMVEDRAFT_v1g169110,RAD21,"Nematostella vectensis"
A0AAD9UVS7,"Double-strand-break repair protein rad21-like protein",P5673_027697,RAD21,"Acropora cervicornis"
A0ABM4BS89,"Double-strand-break repair protein rad21 homolog isoform X2",LOC100197122,RAD21,"Hydra vulgaris"
A0ABN8PL43,"Double-strand-break repair protein rad21-like protein",PEVE_00043354,RAD21,"Porites evermanni"
A0ABN8PLE5,"Double-strand-break repair protein rad21-like protein",PLOB_00043749,RAD21,"Porites lobata"
T2MIH8,"Double-strand-break repair protein rad21 homolog",RAD21,RAD21,"Hydra vulgaris"
A7S2K4,"Histone-binding protein RBBP4-like N-terminal domain-containing protein",NEMVEDRAFT_v1g165676,RBBP4,"Nematostella vectensis"
A0A3M6TE27,"Histone-binding protein RBBP4-like N-terminal domain-containing protein",pdam_00004021,RBBP4,"Pocillopora damicornis"
A0A7M5V8C8,"Histone-binding protein RBBP4-like N-terminal domain-containing protein",RBBP4 OS=Clytia hemisphaerica OX=252671,RBBP4,"Clytia hemisphaerica"
A0A913XGH7,"Histone-binding protein RBBP4-like N-terminal domain-containing protein",RBBP4 OS=Exaiptasia diaphana OX=2652724,RBBP4,"Exaiptasia diaphana"
A0AAU9WPJ5,"Histone-binding protein RBBP4-like N-terminal domain-containing protein",PMEA_00009157,RBBP4,"Pocillopora meandrina"
A0ABN8MST7,"Histone-binding protein RBBP4-like N-terminal domain-containing protein",PLOB_00000008,RBBP4,"Porites lobata"
A0ABN8N828,"Histone-binding protein RBBP4-like N-terminal domain-containing protein",PEVE_00040999,RBBP4,"Porites evermanni"
T2MDF0,"Histone-binding protein RBBP4",RBBP4,RBBP4,"Hydra vulgaris"
T2M261,"RNA-binding protein 7",RBM7,RBM7,"Hydra vulgaris"
A0A2B4RIR9,"RNA-dependent RNA polymerase",RDR2,RDRP,"Stylophora pistillata"
A0A2B4S0A1,"RNA-dependent RNA polymerase",RDR1,RDRP,"Stylophora pistillata"
A0A2B4S2K3,"RNA-dependent RNA polymerase",RDR1,RDRP,"Stylophora pistillata"
A0A2B4S3Y0,"RNA-dependent RNA polymerase",RDR1,RDRP,"Stylophora pistillata"
A0A2B4S6D8,"RNA-dependent RNA polymerase",RDR1,RDRP,"Stylophora pistillata"
A0A2B4S6H5,"RNA-dependent RNA polymerase",RDR2,RDRP,"Stylophora pistillata"
A0A3M6T9A9,"RNA-dependent RNA polymerase",pdam_00007094,RDRP,"Pocillopora damicornis"
A0A3M6U019,"RNA-dependent RNA polymerase",pdam_00009604,RDRP,"Pocillopora damicornis"
A0A3M6U066,"RNA-dependent RNA polymerase",pdam_00009608,RDRP,"Pocillopora damicornis"
A0A3M6U087,"RNA-dependent RNA polymerase",pdam_00009601,RDRP,"Pocillopora damicornis"
A0A3M6U0C1,"RNA-dependent RNA polymerase",pdam_00009609,RDRP,"Pocillopora damicornis"
A0A6P8H437,"RNA-dependent RNA polymerase",LOC116288465,RDRP,"Actinia tenebrosa"
A0A6P8H6G5,"RNA-dependent RNA polymerase",LOC116288436,RDRP,"Actinia tenebrosa"
A0A6P8H6Z9,"RNA-dependent RNA polymerase",LOC116288463,RDRP,"Actinia tenebrosa"
A0A6P8HEP7,"RNA-dependent RNA polymerase",LOC116288452,RDRP,"Actinia tenebrosa"
A0A6S7FT68,"RNA-dependent RNA polymerase",PACLA_8A076861,RDRP,"Paramuricea clavata"
A0A6S7FU92,"RNA-dependent RNA polymerase",PACLA_8A061743,RDRP,"Paramuricea clavata"
A0A7M5UQ26,"RNA-dependent RNA polymerase",RDRP OS=Clytia hemisphaerica OX=252671,RDRP,"Clytia hemisphaerica"
A0A913Y425,"RNA-dependent RNA polymerase",RDRP OS=Exaiptasia diaphana OX=2652724,RDRP,"Exaiptasia diaphana"
A0A913Y4S8,"RNA-dependent RNA polymerase",RDRP OS=Exaiptasia diaphana OX=2652724,RDRP,"Exaiptasia diaphana"
A0A913YWT7,"RNA-dependent RNA polymerase",RDRP OS=Exaiptasia diaphana OX=2652724,RDRP,"Exaiptasia diaphana"
A0A913YXY8,"RNA-dependent RNA polymerase",RDRP OS=Exaiptasia diaphana OX=2652724,RDRP,"Exaiptasia diaphana"
A0A9W9YBD9,"RNA-dependent RNA polymerase",OS493_020020,RDRP,"Desmophyllum pertusum"
A0A9W9YEV0,"RNA-dependent RNA polymerase",OS493_020019,RDRP,"Desmophyllum pertusum"
A0A9W9ZSK9,"RNA-dependent RNA polymerase",OS493_006716,RDRP,"Desmophyllum pertusum"
A0A9W9ZT61,"RNA-dependent RNA polymerase",OS493_000813,RDRP,"Desmophyllum pertusum"
A0A9W9ZTA1,"RNA-dependent RNA polymerase",OS493_000817,RDRP,"Desmophyllum pertusum"
A0A9W9ZTC8,"RNA-dependent RNA polymerase",OS493_000816,RDRP,"Desmophyllum pertusum"
A0A9W9ZTK4,"RNA-dependent RNA polymerase",OS493_000812,RDRP,"Desmophyllum pertusum"
A0A9W9ZU19,"RNA-dependent RNA polymerase",OS493_000815,RDRP,"Desmophyllum pertusum"
A0A9W9ZU40,"RNA-dependent RNA polymerase",OS493_000820,RDRP,"Desmophyllum pertusum"
A0A9W9ZUN1,"RNA-dependent RNA polymerase",OS493_000814,RDRP,"Desmophyllum pertusum"
A0A9W9ZUT4,"RNA-dependent RNA polymerase",OS493_000818,RDRP,"Desmophyllum pertusum"
A0A9W9ZWW6,"RNA-dependent RNA polymerase",OS493_000819,RDRP,"Desmophyllum pertusum"
A0A9X0A574,"RNA-dependent RNA polymerase",OS493_003322,RDRP,"Desmophyllum pertusum"
A0A9X0A5B4,"RNA-dependent RNA polymerase",OS493_003323,RDRP,"Desmophyllum pertusum"
A0A9X0A6E6,"RNA-dependent RNA polymerase",OS493_003289,RDRP,"Desmophyllum pertusum"
A0A9X0CGN6,"ATP-dependent RNA helicase A",DHX9_1,DHX9,"Desmophyllum pertusum"
A0A9X0D5D4,"RNA-dependent RNA polymerase",DBR1_1,RDRP,"Desmophyllum pertusum"
A0A9X0D5Q4,"RNA-dependent RNA polymerase",OS493_000821,RDRP,"Desmophyllum pertusum"
A0A9X0D791,"RNA-dependent RNA polymerase",OS493_000824,RDRP,"Desmophyllum pertusum"
A0AAD9UXL8,"RNA-dependent RNA polymerase",P5673_024942,RDRP,"Acropora cervicornis"
A0AAD9UXP1,"RNA-dependent RNA polymerase",P5673_024940,RDRP,"Acropora cervicornis"
A0AAD9UXU1,"RNA-dependent RNA polymerase",P5673_024941,RDRP,"Acropora cervicornis"
A0AAU9WAH1,"RNA-dependent RNA polymerase",PMEA_00004263,RDRP,"Pocillopora meandrina"
A0AAU9WCN3,"RNA-dependent RNA polymerase",PMEA_00004267,RDRP,"Pocillopora meandrina"
A0AAU9WFE4,"RNA-dependent RNA polymerase",PMEA_00004259,RDRP,"Pocillopora meandrina"
A0AAU9WFH3,"RNA-dependent RNA polymerase",PMEA_00004260,RDRP,"Pocillopora meandrina"
A0A9X0D6J0,"RNA-dependent RNA polymerase",OS493_000823,RDRP,"Desmophyllum pertusum"
A0ABN8LI71,"RNA-dependent RNA polymerase",PEVE_00032720,RDRP,"Porites evermanni"
A0ABN8LIB1,"RNA-dependent RNA polymerase",PEVE_00032712,RDRP,"Porites evermanni"
A0ABN8LMP5,"RNA-dependent RNA polymerase",PEVE_00032709,RDRP,"Porites evermanni"
A0ABN8RBN7,"RNA-dependent RNA polymerase",PLOB_00018126,RDRP,"Porites lobata"
A0ABN8RES1,"RNA-dependent RNA polymerase",PLOB_00018123,RDRP,"Porites lobata"
A0ABN8RET6,"RNA-dependent RNA polymerase",PLOB_00018147,RDRP,"Porites lobata"
A0ABN8SQE6,"RNA-dependent RNA polymerase",PEVE_00026319,RDRP,"Porites evermanni"
A0ABN8SSZ0,"RNA-dependent RNA polymerase",PEVE_00026320,RDRP,"Porites evermanni"
A0A3M6U448,"Ribonuclease P protein subunit p20",pdam_00005430,POP7,"Pocillopora damicornis"
A0A6S7GLN4,"Ribonuclease P protein subunit p20",PACLA_8A085575,POP7,"Paramuricea clavata"
A0A913X7F3,"Ribonuclease P protein subunit p20",POP7 OS=Exaiptasia diaphana OX=2652724,POP7,"Exaiptasia diaphana"
A0A9X0CR56,"Ribonuclease P protein subunit p20",POP7,POP7,"Desmophyllum pertusum"
A0ABN8SHN3,"Ribonuclease P protein subunit p20",PEVE_00021254,POP7,"Porites evermanni"
A0A2B4RH27,"Cohesin subunit SA-1",STAG1,STAG1,"Stylophora pistillata"
A0A6C0WVZ5,"Cohesin subunit SA-1",Scc3,STAG1,"Actinia equina"
A0AAD9QAA6,"Cohesin subunit SA-1",P5673_020265,STAG1,"Acropora cervicornis"
A0A6P8HS38,"Cohesin subunit SA-2-like",LOC116292354,STAG2,"Actinia tenebrosa"
A0A9W9YFK1,"Cohesin subunit SA-2",STAG2,STAG2,"Desmophyllum pertusum"
A0ABM4B6R7,"Cohesin subunit SA-2 isoform X8",LOC100200525,STAG2,"Hydra vulgaris"
A0ABM4B6R9,"Cohesin subunit SA-2 isoform X7",LOC100200525,STAG2,"Hydra vulgaris"
A0ABM4B6S0,"Cohesin subunit SA-2 isoform X6",LOC100200525,STAG2,"Hydra vulgaris"
A0ABM4B6S1,"Cohesin subunit SA-2 isoform X9",LOC100200525,STAG2,"Hydra vulgaris"
A0ABM4B6T0,"Cohesin subunit SA-2 isoform X5",LOC100200525,STAG2,"Hydra vulgaris"
T2MFA5,"Transcription activator BRG1",SMARCA4,SMARCA4,"Hydra vulgaris"
A0A6C0WWF7,"Structural maintenance of chromosomes protein",Smc3,SMC3,"Actinia equina"
A0A9W9ZPQ9,"Structural maintenance of chromosomes protein",SMC3,SMC3,"Desmophyllum pertusum"
A0A2B4RMD7,"non-specific serine/threonine protein kinase",Smg1,SMG1,"Stylophora pistillata"
T2M3Q0,"Protein SMG5",SMG5,SMG5,"Hydra vulgaris"
A0A2B4SEC9,"Polycomb protein suz12",suz12,SUZ12,"Stylophora pistillata"
A0A6P8J1D4,"Polycomb protein SUZ12-like",LOC116306056,SUZ12,"Actinia tenebrosa"
A0A9W9ZLP3,"Polycomb protein suz12",SUZ12,SUZ12,"Desmophyllum pertusum"
